season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	NTHE//NHGW	Monarch	2	teddybear	33	NHGW	13	19	12	61	0	63	7	12	18	2	10	3	1	5	5	0	3	6	378	18	-5	1	5	5	1	0	0	0	6.1	1.3	0	4.692307692	1	0.3846153846	1.8	1.2	6.3	37.8	5.25	0.1666666667	0.25	0.08333333333	0.6	0.9473684211	1	0.1111111111
10	1	NTHE//NHGW	Monarch	2	ccga4	62	NHGW	17	20	13	135	4	49	7	12	15	5	10	7	1	5	7	3	2	3	310	18	5	3	2	1	2	1	1	0.4	13.5	1.7	0.2352941176	7.941176471	0.7142857143	0.1176470588	1.5	1.2	4.9	31	4.083333333	0.1580645161	0.1666666667	0.25	0.3	0.75	0	0.2777777778
10	1	NTHE//NHGW	Monarch	2	brighT	50	NHGW	14	15	11	151	3	12	4	9	14	3	10	7	3	5	6	2	2	5	310	18	5	1	1	1	0	0	0	0.3	15.1	1.4	0.2142857143	10.78571429	0.8333333333	0.07142857143	1.4	0.9	1.2	31	1.333333333	0.03870967742	0.2222222222	0.1111111111	0.5	0.9333333333	0	0.1666666667
10	1	NTHE//NHGW	Monarch	2	coys	45	NHGW	10	14	8	61	2	80	6	9	13	4	10	2	0	2	3	1	1	4	378	18	-5	1	4	2	0	0	0	0.2	6.1	1	0.2	6.1	0.6666666667	0.4	1.3	0.9	8	37.8	8.888888889	0.2116402116	0.1111111111	0.1111111111	0.4	0.9285714286	0	0.2222222222
10	1	NTHE//NHGW	Monarch	2	Eggo	15	NHGW	16	22	16	72	0	40	6	8	10	1	10	6	0	5	7	0	1	2	378	18	-5	1	9	0	0	0	0	0	7.2	1.6	0	4.5	0.7142857143	0.5625	1	0.8	4	37.8	5	0.1058201058	0.125	0.125	0.2	0.4545454545	0	0.05555555556
10	1	NLSP//NCJ	EMERALD	1	InTents	11	NLSP	19	22	19	107	0	39	3	3	4	0	10	7	0	2	3	0	1	1	332	18	-12	1	4	2	0	0	0	0	10.7	1.9	0	5.631578947	0.6666666667	0.2105263158	0.4	0.3	3.9	33.2	13	0.1174698795	0.3333333333	0.3333333333	0.1	0.1818181818	0	0
10	1	NLSP//NCJ	EMERALD	1	eee	57	NCJ	2	8	2	12	0	176	6	25	30	4	10	1	0	2	2	0	8	5	248	18	12	8	1	0	2	0	0	0	1.2	0.2	0	6	1	0.5	3	2.5	17.6	24.8	7.04	0.7096774194	0.32	0.32	0.5	3.75	0	0.2222222222
10	1	NLSP//NCJ	EMERALD	1	Tim Hortons	21	NLSP	15	23	15	65	0	25	8	10	16	2	10	4	0	5	9	0	2	6	332	18	-12	1	6	2	0	0	0	0	6.5	1.5	0	4.333333333	0.5555555556	0.4	1.6	1	2.5	33.2	2.5	0.07530120482	0.2	0.1	0.6	0.6956521739	0	0.1111111111
10	1	NLSP//NCJ	EMERALD	1	d0pe	44	NCJ	18	16	14	101	4	24	2	6	9	4	10	8	0	6	6	3	2	3	248	18	12	1	5	1	1	0	0	0.4	10.1	1.8	0.2222222222	5.611111111	1	0.2777777778	0.9	0.6	2.4	24.8	4	0.09677419355	0.3333333333	0.1666666667	0.3	0.5625	0	0.2222222222
10	1	NLSP//NCJ	EMERALD	1	OJdude	29	NLSP	11	15	10	45	1	98	5	10	13	2	10	1	0	4	5	0	5	3	332	18	-12	5	5	3	0	0	0	0.1	4.5	1.1	0.09090909091	4.090909091	0.8	0.4545454545	1.3	1	9.8	33.2	9.8	0.2951807229	0.5	0.5	0.3	0.8666666667	0	0.1111111111
10	1	NLSP//NCJ	EMERALD	1	Fuzzy	52	NCJ	6	9	4	37	2	171	5	15	21	1	10	3	0	0	0	2	2	6	248	18	12	5	2	0	1	0	0	0.2	3.7	0.6	0.3333333333	6.166666667	0	0.3333333333	2.1	1.5	17.1	24.8	11.4	0.689516129	0.1333333333	0.3333333333	0.6	2.333333333	0	0.05555555556
10	1	NLSP//NCJ	EMERALD	1	Gman8181	61	NCJ	21	15	14	182	7	57	1	4	5	3	10	8	2	6	9	3	3	1	248	18	12	3	4	4	0	0	2	0.7	18.2	2.1	0.3333333333	8.666666667	0.6666666667	0.1904761905	0.5	0.4	5.7	24.8	14.25	0.2298387097	0.75	0.75	0.1	0.3333333333	0	0.1666666667
10	1	NLSP//NCJ	EMERALD	1	Dodge	26	NLSP	6	13	6	31	0	133	7	10	12	2	10	0	0	2	3	0	4	2	332	18	-12	5	2	2	0	0	0	0	3.1	0.6	0	5.166666667	0.6666666667	0.3333333333	1.2	1	13.3	33.2	13.3	0.4006024096	0.4	0.5	0.2	0.9230769231	0	0.1111111111
