season	week	match	map	half	player	score	team	grabs	pops	drops	hold	captures	prevent	ndpops	returns	tags	pups	minutes	goregrab	longholds	goodhandoff	handoff	coregrab	retinbase	nrtags	holdagainst	pupscomp	pm	quickret	flaccids	gohandoff	keyret	saves	cohandoff	capspm	holdpm	grabspm	score%	holdpgrab	spark%	flcd%	tagspm	retpm	prepm	hapm	prepret	prepha	rib%	qr%	nrtpm	kd	kf	pup%
10	1	MOD//MPBP	Monarch	-	Brake	88	MOD	9	27	9	55	0	432	18	18	23	12	20	6	0	3	3	0	7	5	439	36	-2	10	1	1	0	0	0	0	2.75	0.45	0	6.111111111111111	1	0.1111111111111111	1.15	0.9	21.6	21.95	24	0.9840546697038725	0.3888888888888889	0.5555555555555556	0.25	0.8518518518518519	0	0.3333333333333333
10	1	MOD//MPBP	Monarch	-	SIDE	77	MPBP	5	22	5	33	0	304	17	30	39	4	20	2	0	3	4	0	16	9	618	36	2	14	2	0	0	0	0	0	1.65	0.25	0	6.6	0.75	0.4	1.95	1.5	15.2	30.9	10.133333333333333	0.4919093851132686	0.5333333333333333	0.4666666666666667	0.45	1.7727272727272727	0	0.1111111111111111
10	1	MOD//MPBP	Monarch	-	danisk	74	MPBP	26	32	21	149	4	19	11	7	13	3	20	11	1	7	9	3	0	6	618	36	2	0	8	2	0	0	0	0.2	7.45	1.3	0.15384615384615385	5.730769230769231	0.7777777777777778	0.3076923076923077	0.65	0.35	0.95	30.9	2.7142857142857144	0.030744336569579287	0	0	0.3	0.40625	1	0.08333333333333333
10	1	MOD//MPBP	Monarch	-	okthen	55	MOD	38	49	37	295	1	48	12	7	12	4	20	12	4	14	19	1	5	5	439	36	-2	4	10	3	0	0	0	0.05	14.75	1.9	0.02631578947368421	7.7631578947368425	0.7368421052631579	0.2631578947368421	0.6	0.35	2.4	21.95	6.857142857142857	0.10933940774487472	0.7142857142857143	0.5714285714285714	0.25	0.24489795918367346	0	0.1111111111111111
10	1	MOD//MPBP	Monarch	-	Turbo	69	MPBP	3	13	3	1	0	332	10	31	43	0	20	0	0	0	0	0	14	12	618	36	2	11	3	1	0	0	0	0	0.05	0.15	0	0.3333333333333333	0	1	2.15	1.55	16.6	30.9	10.709677419354838	0.5372168284789643	0.45161290322580644	0.3548387096774194	0.6	3.3076923076923075	0	0
10	1	MOD//MPBP	Monarch	-	CB13	85	MOD	7	15	7	14	0	432	8	29	40	3	20	2	0	0	1	0	10	11	439	36	-2	10	2	1	0	0	0	0	0.7	0.35	0	2	0	0.2857142857142857	2	1.45	21.6	21.95	14.89655172413793	0.9840546697038725	0.3448275862068966	0.3448275862068966	0.55	2.6666666666666665	0	0.08333333333333333
10	1	MOD//MPBP	Monarch	-	Mr. Hat	71	MPBP	36	37	34	256	2	19	3	16	27	5	20	6	3	6	9	0	1	11	618	36	2	0	12	4	0	0	0	0.1	12.8	1.8	0.05555555555555555	7.111111111111111	0.6666666666666666	0.3333333333333333	1.35	0.8	0.95	30.9	1.1875	0.030744336569579287	0.0625	0	0.55	0.7297297297297297	0	0.1388888888888889
10	1	MOD//MPBP	Monarch	-	DEAD NAN	80	MOD	37	43	34	254	3	25	9	7	15	5	20	17	1	12	18	2	0	8	439	36	-2	1	12	3	0	0	0	0.15	12.7	1.85	0.08108108108108109	6.864864864864865	0.6666666666666666	0.32432432432432434	0.75	0.35	1.25	21.95	3.5714285714285716	0.05694760820045558	0	0.14285714285714285	0.4	0.3488372093023256	0	0.1388888888888889
10	1	MBD//MHR	EMERALD	-	owen	58	MBD	35	38	32	241	3	58	6	8	14	2	20	13	1	11	17	1	1	6	594	36	-3	0	10	5	0	0	1	0.15	12.05	1.75	0.08571428571428572	6.885714285714286	0.6470588235294118	0.2857142857142857	0.7	0.4	2.9	29.7	7.25	0.09764309764309764	0.125	0	0.3	0.3684210526315789	0	0.05555555555555555
10	1	MBD//MHR	EMERALD	-	Legman	67	MHR	25	29	23	167	2	68	6	17	22	5	20	6	1	10	11	0	7	5	588	36	3	5	7	6	0	1	0	0.1	8.35	1.25	0.08	6.68	0.9090909090909091	0.28	1.1	0.85	3.4	29.4	4	0.11564625850340136	0.4117647058823529	0.29411764705882354	0.25	0.7586206896551724	0	0.1388888888888889
10	1	MBD//MHR	EMERALD	-	Prizm	55	MBD	36	40	32	238	3	64	8	6	7	4	20	12	1	9	18	2	2	1	594	36	-3	2	7	3	1	0	0	0.15	11.9	1.8	0.08333333333333333	6.611111111111111	0.5	0.19444444444444445	0.35	0.3	3.2	29.7	10.666666666666666	0.10774410774410774	0.3333333333333333	0.3333333333333333	0.05	0.175	1	0.1111111111111111
10	1	MBD//MHR	EMERALD	-	ProTagonist_	78	MHR	40	43	36	317	4	33	7	11	19	4	20	17	4	10	11	0	6	8	588	36	3	5	13	1	2	0	0	0.2	15.85	2	0.1	7.925	0.9090909090909091	0.325	0.95	0.55	1.65	29.4	3	0.05612244897959184	0.5454545454545454	0.45454545454545453	0.4	0.4418604651162791	0	0.1111111111111111
10	1	MBD//MHR	EMERALD	-	C Bivvey	65	MBD	13	22	13	45	0	269	9	31	34	3	20	6	0	4	5	0	12	3	594	36	-3	10	4	1	0	0	0	0	2.25	0.65	0	3.4615384615384617	0.8	0.3076923076923077	1.7	1.55	13.45	29.7	8.67741935483871	0.45286195286195285	0.3870967741935484	0.3225806451612903	0.15	1.5454545454545454	0	0.08333333333333333
